x,y
6412315.718,1940683.371
6261549.996,1832385.5
6396953.278,1974450.644
6261110.489,1847611.301
6209045.968,2026551.501
6254840.499,1838123.032
6302537.966,1842672.469
6330076.776,1875868.439
6279045.433,1826283.942
6290202.305,1994076.1
6400938.994,1968527.367
6242837.174,1958692.517
6377977.261,1924433.597
6273159.85,1835701.204
6324006.926,1811714.578
6272548.829,1836011.688
6156597.852,2085605.807
6271153.128,1982139.456
6156885.153,2087806.856
6257159,1833609
6160551,2100833
6298423.996,1899311.493
6272129.704,1836224.89
6278585.472,1826568.039
6305494.834,1828117.087
6260830.754,1973498.931
6264623.1,1870867.199
6214548.141,2025884.06
6306327.923,1861198.132
6231917.808,1989273.475
6284757.187,2082784.306
6230269.456,2059010.563
6251392,1938804
6257308,1829318
6273704.498,1835425.997
6251976.003,2013132.5
6374781.13,1924819.888
6270793.055,1840168.997
6256768.411,1943355.484
6322739.919,1848920.56
6227995.907,2056907.083
6293505.741,1828173.576
6218948.03,2050219.457
6544811.304,1925325.329
6183611.78,2084317.024
6309787.207,1816000.36
6260975.328,1846751.002
6235474.259,2055130.895
6344557.992,1812800.894
6272840.601,1982161.129
6313395.236,2069239.315
6250015.082,2079432.51
6405061.257,2092630.995
6335798.013,1838718.986
6269245.987,1838592.014
6174672.262,2090357.095
6375429.368,1817739.56
6211881.059,2028789.924
6468495.776,1832042.25
6238501.786,2054758.851
6374047.953,1926263.599
6329331.35,1865907.694
6156560.176,2085620.199
6287356.878,1873240.562
6286915.188,1873240.721
6552247.547,1822393.539
6243971.002,2073388.491
6271159.227,1982383.139
6253187.109,2045634.564
6173214.494,2090584.916
6268423.836,1850809.515
6438017.637,1874786.095
6258982.63,2013877.159
6176250.088,2088294.716
6257720.764,2026580.168
6554635.75,1812784.179
6489382.392,1823427.621
6373234.036,1871398.392
6279553.864,1825747.837
6368733.569,1953235.003
6231588.454,2028618.676
6207472.425,2055421.389
6270758.976,1840208.054
6225608.167,2008220.16
6243150.903,2081943.895
6173660.97,2090631.121
6377103.882,1918853.546
6256978.011,1843498.708
6256933.034,1837147.076
6271493.487,1982337.763
6294726.619,1827221.079
6257113.905,1831766.587
6262336.123,1963490.316
6229267.735,2053560.848
6344778.346,1878871.942
6259303.492,1868445.035
6336634.04,1851562.674
6344700.798,1812525.718
6301605.786,1996659.658
6479226.364,1879027.896
6254577.527,1838076.082
6173314.915,2090126.964
6233542.478,2069360.976
6233259.108,1985976.596
6321921.96,1821606.577
6347541.515,1894086.923
6294727.041,1842949.305
6259255.497,1985300.998
6291177,1902467.013
6269221.495,1838129.92
6215608.63,2073900.43
6173654.514,2090555.156
6342185.266,1845398.357
6262284.711,2010937.398
6236351.465,1981547.634
6263364.752,1849372.675
6228341.464,2057447.073
6366912.943,1889654.056
6187829.93,2082721.454
6237074.175,2057729.19
6297696.767,1875460.173
6233392.136,2070630.615
6294992.182,1942456.538
6171552.92,2090502.473
6253035.073,2081200.852
6253309.092,1834699.728
6227867.654,2055347.255
6330013.02,1875907.104
6288380.028,1899208.996
6292651.998,1904375.593
6427501.522,1886573.466
6321598.997,1850588.5
6316851.972,1972207.501
6300021.512,1989525.025
6248703.505,2082306.531
6257083.95,1833606.998
6212048.468,2024503.057
6375303.016,1924921.139
6288438.446,1899224.587
6266625.462,1896191.702
6276227.866,1852028.331
6393805.043,1932361.622
6329403.992,1865934.649
6273667.777,1836082.111
6309889.691,1970634.961
6270964.803,1852410.695
6342317.168,1844890.798
6264383.003,2026662.97
6272161.646,2002304.328
6299220.552,1792748.005
6297525.589,1876688.715
6258258.523,1898556.108
6199767.962,2041104.92
6298382.373,1874780.179
6281267.197,1997022.914
6364526.998,1916304.824
6185281.749,2060524.528
6303190.48,1797287.578
6261793.01,1974695.879
6317371.544,1994634.789
6255797,1831851.988
6364041.001,1896844.012
6374765.923,1924811.669
6174088.008,2090525.109
6307632.819,1993958.937
6299923.053,1895293.661
6275296.368,1835956.069
6194049.658,2056678.072
6246805.256,2076940.691
6311688.728,1993982.312
6476742.45,1829260.865
6306841.977,1821943.776
6230549.237,2056026.204
6298060.151,1883081.338
6274142.046,1850743.379
6266001.319,1942358.234
6252505.55,1837750.62
6489422.698,1823466.384
6327431.113,1835926.793
6259865.844,1985475.418
6259034.381,1830767.567
6535833.76,1801541.674
6271680.081,1982425.945
6319041.413,1844169.031
6318962.413,1844197.031
6242718.969,2077286.587
6249104.997,1937964.5
6273762.024,1988366.011
6296883.336,1877130.068
6250467.099,2082614.801
6323509.571,2073561.502
6249282.855,2083001.513
6293576.869,1827998.412
6263316.999,1849306.811
6255267.166,1831991.01
6298563.812,1875758.317
6256149.035,1837790.967
6256834,1837440
6245540.858,1880048.058
6259303.074,2004022.525
6457198.614,1809584.598
6304056.003,2049711.932
6250181.952,1962642.474
6213932.448,2027567.792
6311542.227,1994195.659
6313107.389,1839368.502
6219012.865,2050248.382
6255669.791,1833200.115
6292307.596,1829539.73
6228773.313,2025587.834
6228297.029,2057406.44
6315012,2001311
6602786.997,1980087.5
6311393.39,1994411.424
6243170.04,2081864.83
6174254.416,2090506.843
6298884.402,1849799.076
6302258.923,2018614.541
6332298.712,1788651.034
6274152.418,2088658.616
6297761.283,1877465.236
6498818.94,1903069.942
6259786.596,1985444.894
6318841.36,1825564.219
6266922.034,1995902.415
6214620.574,2025914.819
6212992.255,2023989.11
6304315.599,1865267.077
6298317.679,1876974.239
6270698.471,1838436.142
6298071.217,1877227.76
6237203.754,1985641.009
6427773.118,1841776.65
6175002.41,2090072.858
6154744.073,2086494.651
6256295.079,1838127.954
6174631.954,2090287.921
6274497.148,1850612.213
6228011.554,2058405.414
6323007.68,1811723.048
6298139.825,1877263.052
6257233.964,1836592.508
6363998.139,1896888.489
6298395.524,1877364.64
6278957.878,1832691.751
6280435.361,1824819.863
6255798.68,1836372.142
6407169.131,1899914.452
6249087.456,2081698.738
6270241.88,1867607.952
6315381.388,1913952.95
6243192.905,2072797.373
6298529.404,1877604.811
6377074.952,1918857.975
6286977.143,1958443.426
6264566.494,1870611.997
