5604	"Oxnard-PD"						
5605	"Port Hueneme-PD"						
5606	"Santa Paula-PD"						
5608	"Ventura-PD"						
5609	"Simi Valley-PD"						
5613	"Angeles Park Dist-PD"						
5615	"Channel Cst Pk Dist-PD"						
5617	"Hungry Vly Pk Dist-PD"						
5701	"Davis-PD"						
5702	"Winters-PD"						
5703	"Woodland-PD"						
5704	"West Sacramento-PD"						
5797	"UC Davis-PD"						
5801	"Marysville-PD"						
5802	"Wheatland-PD"						
9120	"Crescent City-CHP"						
9125	"Humboldt-CHP"						
9126	"Garberville-CHP"						
9130	"Red Bluff-CHP"						
9131	"Cottonwood Insp Fac-CHP"						
9135	"Redding-CHP"						
9140	"Susanville-CHP"						
9145	"Yreka-CHP"						
9146	"Mount Shasta-CHP"						
9147	"Dunsmuir Grade Insp Fac-CHP"						
9150	"Ukiah-CHP"						
9151	"Clear Lake-CHP"						
9155	"Williams-CHP"						
9160	"Willows-CHP"						
9165	"Quincy-CHP"						
9170	"Alturas-CHP"						
9175	"Trinity River-CHP"						
9220	"Auburn-CHP"						
9221	"Gold Run-CHP"						
9222	"Truckee-CHP"						
9223	"Donner Pass Insp Fac-CHP"						
9230	"Grass Valley-CHP"						
9240	"Oroville-CHP"						
9241	"Chico-CHP"						
9245	"Placerville-CHP"						
9246	"South Lake Tahoe-CHP"						
9250	"North Sacramento-CHP"						
9252	"South Sacramento-CHP"						
9255	"San Andreas-CHP"						
9265	"Stockton-CHP"						
9266	"Tracy-CHP"						
9280	"Woodland-CHP"						
9285	"Yuba-Sutter-CHP</option>"						
9295	"Amador-CHP"						
9320	"Contra Costa-CHP"						
9325	"Napa-CHP"						
9330	"Redwood City-CHP"						
9335	"San Francisco-CHP"						
9340	"San Jose-CHP"						
9345	"Hayward-CHP"						
9347	"Nimitz Insp Fac-CHP"						
9350	"Marin-CHP"						
9360	"Santa Rosa-CHP"						
9365	"Solano-CHP"						
9366	"Cordelia Insp Fac-CHP"						
9370	"Oakland-CHP"						
9375	"Castro Valley-CHP"						
9390	"Dublin-CHP"						
9391	"Missn Grade Insp Fac-CHP"						
9420	"Bakersfield-CHP"						
9424	"Grapevine Insp Fac-CHP"						
9425	"Sonora-CHP"						
9426	"Buttonwillow-CHP"						
9430	"Fort Tejon-CHP"						
9435	"Fresno-CHP"						
9440	"Hanford-CHP"						
9450	"Madera-CHP"						
9455	"Mariposa-CHP"						
9456	"Oakhurst-CHP"						
9460	"Merced-CHP"						
9461	"Los Banos-CHP"						
9464	"Chowchilla River Insp Fac-CHP"						
9465	"Modesto-CHP"						
9480	"Visalia-CHP"						
9481	"Porterville-CHP"						
9495	"Coalinga-CHP"						
9525	"Baldwin Park-CHP"						
9530	"South Los Angeles-CHP"						
9535	"East Los Angeles-CHP"						
9540	"Newhall-CHP"						
9541	"Castaic Insp Fac-CHP"						
9545	"Antelope Valley-CHP"						
9550	"Santa Fe Springs-CHP"						
9565	"West Los Angeles-CHP"						
9575	"Altadena-CHP"						
9580	"West Valley-CHP"						
9590	"Central Los Angeles-CHP"						
9620	"Winterhaven-CHP"						
9625	"El Centro-CHP"						
9626	"Calexico Insp Fac-CHP"						
9630	"Indio-CHP"						
9645	"San Diego-CHP"						
9646	"Otay Mesa Insp Fac-CHP"						
9650	"Oceanside-CHP"						
9651	"San Onofre Insp Fac-CHP"						
9655	"San Gorgonio Pass-CHP"						
9656	"Desert Hills Insp Fac-CHP"						
9660	"Blythe-CHP"						
9670	"Westminster-CHP"						
9675	"Santa Ana-CHP"						
9680	"El Cajon-CHP"						
9685	"Temecula-CHP"						
9686	"Rainbow Insp Fac-CHP"						
9690	"Capistrano-CHP"						
9720	"Santa Cruz-CHP"						
9725	"Hollister-Gilroy-CHP"						
9726	"Gilroy Insp Fac-CHP"						
9730	"Monterey-CHP"						
9735	"King City-CHP"						
9740	"Templeton-CHP"						
9745	"San Luis Obispo-CHP"						
9750	"Santa Maria-CHP"						
9755	"Buellton-CHP"						
9760	"Santa Barbara-CHP"						
9765	"Ventura-CHP"						
9766	"Conejo Insp Fac-CHP"						
9770	"Moorpark-CHP"						
9771	"Conejo Insp Fac-CHP"						
9820	"Bridgeport-CHP"						
9825	"Bishop-CHP"						
9830	"Mojave-CHP"						
9834	"Needles-CHP"						
9835	"Barstow-CHP"						
9840	"Riverside-CHP"						
9850	"Victorville-CHP"						
9855	"Rancho Cucamonga-CHP"						
9860	"San Bernardino-CHP"						
9865	"Arrowhead-CHP"						
9870	"Morongo Basin-CHP"						
"340H"	"Elk Grove-PD"						
							"</select>"
